Time,Core,IPC,LLC Misses,LLC[KB],MBL[MB/s],MBR[MB/s]
2020-12-23 10:21:52,"0",0.53,4425,200.0,0.0,0.0
2020-12-23 10:21:52,"1",0.52,7100,480.0,0.0,0.0
2020-12-23 10:21:52,"2",0.34,1913,40.0,0.0,0.0
2020-12-23 10:21:52,"3",0.24,303,0.0,0.0,0.0
2020-12-23 10:21:52,"4",0.52,4177,280.0,0.0,0.0
2020-12-23 10:21:52,"5",0.47,1432,40.0,0.0,0.0
2020-12-23 10:21:52,"6",0.65,91113,10640.0,0.0,0.0
2020-12-23 10:21:52,"7",0.52,1617,0.0,0.0,0.0
2020-12-23 10:21:52,"8",0.48,2969,200.0,0.0,0.0
2020-12-23 10:21:52,"9",0.73,524,0.0,0.0,0.0
2020-12-23 10:21:52,"10",1.60,31682,3120.0,0.0,0.0
2020-12-23 10:21:52,"11",0.55,631,0.0,0.0,0.0
2020-12-23 10:21:52,"12",0.32,1159,120.0,0.0,0.0
2020-12-23 10:21:52,"13",0.30,435,0.0,0.0,0.0
2020-12-23 10:21:52,"14",0.36,390,0.0,0.0,0.0
2020-12-23 10:21:52,"15",0.36,390,0.0,0.0,0.0
2020-12-23 10:21:52,"16",0.45,961,0.0,0.0,0.0
2020-12-23 10:21:52,"17",0.41,349,0.0,0.0,0.0
2020-12-23 10:21:52,"18",0.40,347,0.0,0.0,0.0
2020-12-23 10:21:52,"19",0.42,324,0.0,0.0,0.0
2020-12-23 10:21:52,"40",0.34,2319,0.0,0.0,0.0
2020-12-23 10:21:52,"41",0.34,1279,80.0,0.0,0.0
2020-12-23 10:21:52,"42",2.18,16331,1440.0,0.0,0.0
2020-12-23 10:21:52,"43",0.56,338,0.0,0.0,0.0
2020-12-23 10:21:52,"44",0.44,2038,200.0,0.0,0.0
2020-12-23 10:21:52,"45",0.28,242,0.0,0.0,0.0
2020-12-23 10:21:52,"46",0.33,389,40.0,0.0,0.0
2020-12-23 10:21:52,"47",0.42,202,0.0,0.0,0.0
2020-12-23 10:21:52,"48",0.34,1751,40.0,0.0,0.0
2020-12-23 10:21:52,"49",0.38,180,0.0,0.0,0.0
2020-12-23 10:21:52,"50",0.50,1899,160.0,0.0,0.0
2020-12-23 10:21:52,"51",0.26,275,0.0,0.0,0.0
2020-12-23 10:21:52,"52",2.42,12784,2040.0,0.0,0.0
2020-12-23 10:21:52,"53",0.64,418,0.0,0.0,0.0
2020-12-23 10:21:52,"54",0.34,263,0.0,0.0,0.0
2020-12-23 10:21:52,"55",0.34,253,0.0,0.0,0.0
2020-12-23 10:21:52,"56",0.33,222,0.0,0.0,0.0
2020-12-23 10:21:52,"57",0.38,218,0.0,0.0,0.0
2020-12-23 10:21:52,"58",0.38,188,0.0,0.0,0.0
2020-12-23 10:21:52,"59",0.37,151,0.0,0.0,0.0
2020-12-23 10:21:53,"0",0.63,331254,520.0,13.8,5.2
2020-12-23 10:21:53,"1",0.67,174369,440.0,17.8,3.5
2020-12-23 10:21:53,"2",0.48,62247,80.0,4.3,1.1
2020-12-23 10:21:53,"3",0.47,58325,80.0,1.3,1.0
2020-12-23 10:21:53,"4",0.38,52908,240.0,1.6,1.1
2020-12-23 10:21:53,"5",0.30,55882,80.0,1.8,1.8
2020-12-23 10:21:53,"6",0.76,423317,0.0,48.4,23.6
2020-12-23 10:21:53,"7",0.68,149089,40.0,26.6,4.1
2020-12-23 10:21:53,"8",0.68,73559,760.0,2.4,3.2
2020-12-23 10:21:53,"9",0.42,48115,1280.0,3.1,0.5
2020-12-23 10:21:53,"10",1.00,280222,5280.0,26.8,30.4
2020-12-23 10:21:53,"11",1.49,664192,3320.0,79.5,19.3
2020-12-23 10:21:53,"12",1.34,461197,280.0,68.6,5.5
2020-12-23 10:21:53,"13",1.49,622335,8680.0,73.9,18.7
2020-12-23 10:21:53,"14",0.58,29722,0.0,0.1,1.9
2020-12-23 10:21:53,"15",0.49,38470,40.0,0.3,3.1
2020-12-23 10:21:53,"16",0.98,40697,40.0,0.4,2.8
2020-12-23 10:21:53,"17",0.49,17932,40.0,0.1,1.2
2020-12-23 10:21:53,"18",0.64,64486,0.0,0.4,4.4
2020-12-23 10:21:53,"19",0.56,170175,0.0,0.3,15.0
2020-12-23 10:21:53,"40",0.72,524319,13440.0,37.6,31.0
2020-12-23 10:21:53,"41",0.48,44969,0.0,0.9,1.1
2020-12-23 10:21:53,"42",1.79,360646,600.0,9.3,28.3
2020-12-23 10:21:53,"43",0.69,93674,1320.0,3.2,2.8
2020-12-23 10:21:53,"44",2.01,542643,2640.0,36.1,32.3
2020-12-23 10:21:53,"45",0.96,79950,1120.0,4.1,2.1
2020-12-23 10:21:53,"46",0.62,69460,720.0,2.7,2.9
2020-12-23 10:21:53,"47",0.70,303655,840.0,6.6,12.9
2020-12-23 10:21:53,"48",0.39,214055,720.0,3.4,10.9
2020-12-23 10:21:53,"49",0.88,74076,0.0,3.1,2.5
2020-12-23 10:21:53,"50",1.52,445035,1080.0,51.8,12.9
2020-12-23 10:21:53,"51",1.32,623885,3920.0,51.7,22.9
2020-12-23 10:21:53,"52",1.38,483912,200.0,77.0,4.2
2020-12-23 10:21:53,"53",1.20,741877,2640.0,92.1,18.4
2020-12-23 10:21:53,"54",0.52,42478,0.0,0.4,2.8
2020-12-23 10:21:53,"55",0.53,51386,80.0,1.9,3.9
2020-12-23 10:21:53,"56",0.51,60490,40.0,0.5,4.0
2020-12-23 10:21:53,"57",0.61,114020,0.0,10.1,3.7
2020-12-23 10:21:53,"58",0.51,44687,0.0,0.2,2.9
2020-12-23 10:21:53,"59",0.47,57680,0.0,0.0,5.4
2020-12-23 10:21:54,"0",0.77,634868,17400.0,28.9,30.6
2020-12-23 10:21:54,"1",0.48,34050,640.0,0.7,0.5
2020-12-23 10:21:54,"2",0.88,45869,160.0,2.3,0.5
2020-12-23 10:21:54,"3",0.80,14049,0.0,0.9,0.6
2020-12-23 10:21:54,"4",0.35,14070,0.0,0.7,0.7
2020-12-23 10:21:54,"5",0.25,8850,200.0,0.2,0.1
2020-12-23 10:21:54,"6",0.32,12474,320.0,0.4,0.5
2020-12-23 10:21:54,"7",0.65,39068,560.0,1.7,1.0
2020-12-23 10:21:54,"8",0.89,55960,1600.0,2.2,0.6
2020-12-23 10:21:54,"9",0.76,431946,800.0,46.6,28.9
2020-12-23 10:21:54,"10",0.90,349654,1880.0,41.1,45.9
2020-12-23 10:21:54,"11",1.45,635168,7640.0,74.0,20.0
2020-12-23 10:21:54,"12",1.26,622382,1640.0,77.1,12.8
2020-12-23 10:21:54,"13",1.38,782152,5240.0,104.6,23.0
2020-12-23 10:21:54,"14",0.56,46287,0.0,0.2,4.7
2020-12-23 10:21:54,"15",0.67,53076,0.0,0.4,6.2
2020-12-23 10:21:54,"16",1.06,83069,0.0,0.4,7.0
2020-12-23 10:21:54,"17",0.55,66879,40.0,1.4,3.5
2020-12-23 10:21:54,"18",0.75,84600,1040.0,0.9,6.9
2020-12-23 10:21:54,"19",0.66,39564,0.0,0.0,4.1
2020-12-23 10:21:54,"40",0.33,40009,640.0,7.3,2.2
2020-12-23 10:21:54,"41",0.59,212369,440.0,28.2,3.0
2020-12-23 10:21:54,"42",0.85,104209,80.0,12.2,2.1
2020-12-23 10:21:54,"43",0.89,33312,1040.0,1.5,1.4
2020-12-23 10:21:54,"44",0.73,17819,120.0,0.7,0.5
2020-12-23 10:21:54,"45",1.33,50737,0.0,3.3,1.4
2020-12-23 10:21:54,"46",0.34,18359,0.0,0.2,0.5
2020-12-23 10:21:54,"47",0.36,6268,40.0,0.0,0.7
2020-12-23 10:21:54,"48",0.46,204524,520.0,36.8,9.6
2020-12-23 10:21:54,"49",1.12,17739,0.0,0.3,0.6
2020-12-23 10:21:54,"50",1.48,447204,400.0,55.0,13.8
2020-12-23 10:21:54,"51",1.22,569238,2600.0,65.6,18.2
2020-12-23 10:21:54,"52",1.19,387685,2960.0,53.7,8.6
2020-12-23 10:21:54,"53",1.22,676890,1920.0,79.2,17.5
2020-12-23 10:21:54,"54",0.59,42852,0.0,0.3,5.2
2020-12-23 10:21:54,"55",0.48,99878,80.0,7.9,5.1
2020-12-23 10:21:54,"56",0.57,41571,40.0,0.0,4.5
2020-12-23 10:21:54,"57",0.63,161167,0.0,20.2,3.7
2020-12-23 10:21:54,"58",0.54,41578,0.0,0.2,3.2
2020-12-23 10:21:54,"59",0.55,73432,40.0,1.2,6.9
2020-12-23 10:21:55,"0",0.62,233053,720.0,11.9,2.6
2020-12-23 10:21:55,"1",0.55,15863,120.0,1.2,0.5
2020-12-23 10:21:55,"2",0.72,194825,360.0,25.1,4.0
2020-12-23 10:21:55,"3",0.90,128280,1000.0,14.0,3.2
2020-12-23 10:21:55,"4",0.53,34229,200.0,0.5,0.7
2020-12-23 10:21:55,"5",0.23,17472,360.0,1.1,0.5
2020-12-23 10:21:55,"6",0.60,154381,2120.0,21.2,3.0
2020-12-23 10:21:55,"7",0.25,15566,280.0,0.4,0.2
2020-12-23 10:21:55,"8",0.93,82616,800.0,3.5,2.1
2020-12-23 10:21:55,"9",0.40,25549,320.0,2.2,0.3
2020-12-23 10:21:55,"10",1.18,674063,160.0,78.7,82.7
2020-12-23 10:21:55,"11",1.43,1020388,11880.0,122.6,24.9
2020-12-23 10:21:55,"12",1.27,695214,2080.0,105.0,7.5
2020-12-23 10:21:55,"13",1.15,985584,280.0,117.9,13.2
2020-12-23 10:21:55,"14",0.57,43836,0.0,1.2,3.1
2020-12-23 10:21:55,"15",0.63,35579,0.0,0.1,3.4
2020-12-23 10:21:55,"16",1.11,77045,0.0,0.5,6.8
2020-12-23 10:21:55,"17",0.52,43976,0.0,1.5,3.6
2020-12-23 10:21:55,"18",0.61,45935,0.0,0.2,4.4
2020-12-23 10:21:55,"19",0.67,74922,0.0,0.3,6.4
