Time,Core,IPC,LLC Misses,LLC[KB],MBL[MB/s],MBR[MB/s]
2020-12-24 16:51:32,"10-19,50-59,20-29,60-69,30-39,70-79",1.07,28229,120.0,0.0,0.0
2020-12-24 16:51:33,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,25766648,75800.0,2317.0,680.0
2020-12-24 16:51:34,"10-19,50-59,20-29,60-69,30-39,70-79",1.37,28456253,75920.0,2479.8,1067.3
2020-12-24 16:51:35,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,28080913,76080.0,2278.8,1057.0
2020-12-24 16:51:36,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,26057840,76160.0,2205.6,917.9
2020-12-24 16:51:37,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,32022081,76160.0,2526.9,1424.8
2020-12-24 16:51:38,"10-19,50-59,20-29,60-69,30-39,70-79",1.49,25854476,76200.0,2260.2,848.7
2020-12-24 16:51:39,"10-19,50-59,20-29,60-69,30-39,70-79",1.50,24195163,76200.0,2181.4,811.1
2020-12-24 16:51:40,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,26141006,76120.0,2233.8,1047.6
2020-12-24 16:51:41,"10-19,50-59,20-29,60-69,30-39,70-79",1.39,20909830,76080.0,2103.2,684.7
2020-12-24 16:51:42,"10-19,50-59,20-29,60-69,30-39,70-79",1.38,24131051,76320.0,2245.6,736.8
2020-12-24 16:51:43,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,26339228,76320.0,2418.7,928.6
2020-12-24 16:51:44,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,25668260,76360.0,2456.3,805.9
2020-12-24 16:51:45,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,22548418,76280.0,2254.6,600.0
2020-12-24 16:51:46,"10-19,50-59,20-29,60-69,30-39,70-79",1.37,20442727,76240.0,2224.3,630.1
2020-12-24 16:51:47,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,22374428,76400.0,2322.0,608.7
2020-12-24 16:51:48,"10-19,50-59,20-29,60-69,30-39,70-79",1.37,21274923,76400.0,2274.6,513.2
2020-12-24 16:51:49,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,24336512,76520.0,2398.1,734.1
2020-12-24 16:51:50,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,25557668,76480.0,2525.5,670.8
2020-12-24 16:51:51,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,24833248,76560.0,2418.7,649.2
2020-12-24 16:51:52,"10-19,50-59,20-29,60-69,30-39,70-79",1.41,19067729,76560.0,2161.1,549.9
2020-12-24 16:51:53,"10-19,50-59,20-29,60-69,30-39,70-79",1.38,24309284,76520.0,2471.2,629.7
2020-12-24 16:51:54,"10-19,50-59,20-29,60-69,30-39,70-79",1.47,28017850,76480.0,2504.5,856.9
2020-12-24 16:51:55,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,24975364,76480.0,2359.8,902.3
2020-12-24 16:51:56,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,23621630,76520.0,2308.4,657.5
2020-12-24 16:51:57,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,24661164,76520.0,2371.8,772.9
2020-12-24 16:51:58,"10-19,50-59,20-29,60-69,30-39,70-79",1.41,27093973,76480.0,2535.7,913.2
2020-12-24 16:51:59,"10-19,50-59,20-29,60-69,30-39,70-79",1.49,20712611,76200.0,2239.5,568.7
2020-12-24 16:52:00,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,21572536,76560.0,2218.9,493.0
2020-12-24 16:52:01,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,27430453,76560.0,2598.9,748.4
2020-12-24 16:52:02,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,27443141,76600.0,2570.0,687.0
2020-12-24 16:52:03,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,25675451,76520.0,2470.9,660.0
2020-12-24 16:52:04,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,24476478,76520.0,2342.1,721.9
2020-12-24 16:52:05,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,25218024,76600.0,2332.0,767.7
2020-12-24 16:52:06,"10-19,50-59,20-29,60-69,30-39,70-79",1.42,21556794,76480.0,2336.0,538.2
2020-12-24 16:52:07,"10-19,50-59,20-29,60-69,30-39,70-79",1.42,22611930,76600.0,2389.5,718.5
2020-12-24 16:52:08,"10-19,50-59,20-29,60-69,30-39,70-79",1.49,24623957,76560.0,2529.0,508.2
2020-12-24 16:52:09,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,25882868,76600.0,2480.6,692.7
2020-12-24 16:52:10,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,26047332,76480.0,2542.5,717.4
2020-12-24 16:52:11,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,20041562,76360.0,2274.3,579.3
2020-12-24 16:52:12,"10-19,50-59,20-29,60-69,30-39,70-79",1.51,22893044,76440.0,2432.7,497.5
2020-12-24 16:52:13,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,26840005,75960.0,2650.6,757.4
2020-12-24 16:52:14,"10-19,50-59,20-29,60-69,30-39,70-79",1.42,26416461,76520.0,2597.7,649.7
2020-12-24 16:52:15,"10-19,50-59,20-29,60-69,30-39,70-79",1.40,23116286,76600.0,2293.6,607.5
2020-12-24 16:52:16,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,26141313,76400.0,2497.9,644.2
2020-12-24 16:52:17,"10-19,50-59,20-29,60-69,30-39,70-79",1.46,22208383,76520.0,2353.2,553.7
2020-12-24 16:52:18,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,19377097,76560.0,2110.1,444.8
