# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    71    43     -     9     3     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    63    45     -    28     3     0     0  6800  1560     0     0  8254    19     -     -     0    10     0
    2    81    37     -    25     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    71    43     -    15     4     0     0  6800  1350     0     0  5621    15     -     -     0    19     6
    1    99    46     -    23     2     0     0  6800  1920     0     0  8254    19     -     -     0     0     0
    2    70    38     -    23     3     0     0  6800  1350     0     0  5563    15     -     -     0     2     0
    0   102    45     -    12     5     0     0  6800  1920     0     0  5621    15     -     -     0   286     1
    1    85    47     -    25     3     0     0  6800  1935     0     0  8254    19     -     -     0    84     0
    2    67    38     -    24     3     0     0  6800  1350     0     0  5563    15     -     -     0    64     4
    0    69    43     -    12     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    93    47     -    31     4     0     0  6800  1935     0     0  8254    19     -     -     0   134     4
    2    84    38     -    20     3     0     0  6800  1590     0     0  5563    15     -     -     0    15     0
    0    68    43     -    11     3     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    86    47     -    25     3     0     0  6800  1935     0     0  8254    19     -     -     0     0     0
    2    97    38     -    23     3     0     0  6800  1590     0     0  5563    15     -     -     0     0     0
    0    77    44     -    11     4     0     0  6800  1350     0     0  5621    15     -     -     0   267     4
    1   103    48     -    26     3     0     0  6800  1935     0     0  8254    19     -     -     0     0     0
    2    67    38     -    14     3     0     0  6800  1350     0     0  5563    15     -     -     0    32     3
    0    71    43     -    13     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    85    47     -    26     3     0     0  6800  1785     0     0  8254    19     -     -     0    85     0
    2   101    40     -    51     8     0     0  6800  1905     0     0  5563    15     -     -     0   273     3
    0    62    43     -    14     4     0     0  6800  1350     0     0  5621    15     -     -     0   264     5
    1    79    47     -    24     3     0     0  6800  1890     0     0  8254    19     -     -     0    78     1
    2    92    40     -     9     2     0     0  6800  1905     0     0  5563    15     -     -     0   287     0
    0    66    43     -    12     4     0     0  6800  1350     0     0  5621    15     -     -     0     3     0
    1    94    48     -    31     4     0     0  6800  1890     0     0  8254    19     -     -     0     0     0
    2    77    39     -    14     2     0     0  6800  1575     0     0  5563    15     -     -     0   340     2
    0    61    43     -    10     3     0     0  6800  1350     0     0  5621    15     -     -     0    14     0
    1    78    48     -    23     3     0     0  6800  1845     0     0  8254    19     -     -     0   146     3
    2    72    39     -    12     3     0     0  6800  1575     0     0  5563    15     -     -     0     7     0
    0    63    44     -    13     4     0     0  6800  1350     0     0  5621    15     -     -     0   273     4
    1   102    48     -    24     3     0     0  6800  1845     0     0  8254    19     -     -     0    81     1
    2    66    39     -    18     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    72    44     -    11     3     0     0  6800  1350     0     0  5621    15     -     -     0   270     4
    1    85    48     -    30     3     0     0  6800  1725     0     0  8254    19     -     -     0    68   215
    2    80    39     -    20     3     0     0  6800  1350     0     0  5563    15     -     -     0   270     4
    0    69    44     -    11     3     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    88    48     -    22     3     0     0  6800  1785     0     0  8254    19     -     -     0     7     0
    2    87    40     -    27     3     0     0  6800  1560     0     0  5563    15     -     -     0    68     4
